segment_key_#, file_name, low_angle_bound, high_angle_bound, aframe, low_energy_bound, high_energy_bound, eframe, norm, shift
1,data/Frentz_C2889_0.dat,0.0000e+00,1.8000e+02,Lab,0.0000e+00,6.0000e+00,Lab,1.0000e+00,0.0000e+00
2,data/Marta_O1912_0.dat,0.0000e+00,1.8000e+02,Lab,0.0000e+00,6.0000e+00,Lab,1.0000e+00,0.0000e+00
3,data/Chen_0.dat,0.0000e+00,1.8000e+02,Lab,0.0000e+00,5.0000e+00,Lab,1.0000e+00,0.0000e+00
4,data/Li_C3100_0.dat,0.0000e+00,0.0000e+00,Lab,0.0000e+00,2.0000e+00,Lab,1.0000e+00,0.0000e+00
5,data/Li_C3100_0.dat,4.5000e+01,4.5000e+01,Lab,0.0000e+00,2.0000e+00,Lab,1.0000e+00,0.0000e+00
6,data/Li_C3100_0.dat,9.0000e+01,9.0000e+01,Lab,0.0000e+00,2.0000e+00,Lab,1.0000e+00,0.0000e+00
7,data/Li_C3100_0.dat,1.3500e+02,1.3500e+02,Lab,0.0000e+00,2.0000e+00,Lab,1.0000e+00,0.0000e+00
8,data/Li_C3100_0.dat,1.5000e+02,1.5000e+02,Lab,0.0000e+00,2.0000e+00,Lab,1.0000e+00,0.0000e+00
9,data/deBoer_C2160_30deg.dat,8.5000e+01,9.5000e+01,Lab,0.0000e+00,5.0000e+00,Lab,1.0000e+00,0.0000e+00
10,data/deBoer_C2160_30deg.dat,1.1500e+02,1.2500e+02,Lab,0.0000e+00,5.0000e+00,Lab,1.0000e+00,0.0000e+00
11,data/deBoer_C2160_30deg.dat,1.3000e+02,1.4000e+02,Lab,0.0000e+00,5.0000e+00,Lab,1.0000e+00,0.0000e+00
12,data/deBoer_C2160_30deg.dat,1.4500e+02,1.5500e+02,Lab,0.0000e+00,5.0000e+00,Lab,1.0000e+00,0.0000e+00
13,data/deBoer_C2160_30deg.dat,1.5500e+02,1.6500e+02,Lab,0.0000e+00,5.0000e+00,Lab,1.0000e+00,0.0000e+00
